timestamp,pond-temperature,context_pond-temperature,date
1640104578249,20.31,{},2021-12-21 22:06:18.249000+05:30
1640104207331,20.31,{},2021-12-21 22:00:07.331000+05:30
1640103836412,20.44,{},2021-12-21 21:53:56.412000+05:30
1640103465470,20.44,{},2021-12-21 21:47:45.470000+05:30
1640103094527,20.38,{},2021-12-21 21:41:34.527000+05:30
1640102723548,20.44,{},2021-12-21 21:35:23.548000+05:30
1640102352586,20.5,{},2021-12-21 21:29:12.586000+05:30
1640101981620,20.5,{},2021-12-21 21:23:01.620000+05:30
1640101610667,20.56,{},2021-12-21 21:16:50.667000+05:30
1640101239708,20.63,{},2021-12-21 21:10:39.708000+05:30
1640100868796,20.63,{},2021-12-21 21:04:28.796000+05:30
1640100497781,20.63,{},2021-12-21 20:58:17.781000+05:30
1640099755826,20.69,{},2021-12-21 20:45:55.826000+05:30
1640099384818,20.69,{},2021-12-21 20:39:44.818000+05:30
1640098642801,20.81,{},2021-12-21 20:27:22.801000+05:30
1640098271786,20.75,{},2021-12-21 20:21:11.786000+05:30
1640097529716,20.88,{},2021-12-21 20:08:49.716000+05:30
1640096787610,20.88,{},2021-12-21 19:56:27.610000+05:30
